,mean,p
0,0.042105904970853925,0.750249950009998
1,0.35174761467305204,0.038592281543691265
2,0.2368217283237663,0.14877024595080984
3,0.15459118265814673,0.3827234553089382
4,0.3953700499954542,0.03559288142371526
5,0.1306066482709848,0.5318936212757448
6,0.06955297767182271,0.6100779844031193
7,0.2854355639995817,0.10997800439912017
8,0.20198135664371178,0.1949610077984403
9,-0.11327524879584336,0.5016996600679864
10,0.20436471656934801,0.2411517696460708
11,0.14241734460847563,0.3669266146770646
12,0.2567533057728085,0.09298140371925614
13,0.17647669296479046,0.3509298140371926
14,0.14130239389652616,0.4029194161167766
15,0.18976832094884366,0.2511497700459908
16,-0.021929937206346162,0.8944211157768446
17,0.24031236434609923,0.14577084583083383
18,0.25930890356518915,0.10197960407918416
19,0.3311687295217717,0.03979204159168166
20,0.28293873270744,0.10677864427114576
21,0.2527726211315556,0.13797240551889622
22,0.16583100314874114,0.4191161767646471
23,0.5349139950031254,0.0061987602479504095
24,0.050031397981864775,0.7716456708658268
25,0.21539028134470026,0.21575684863027395
26,0.5084358673448731,0.009198160367926415
27,0.29035891023463967,0.21875624875024996
28,0.24051315053897765,0.16556688662267546
29,0.10847048715046652,0.5604879024195161
30,0.24994160968987086,0.16776644671065788
31,0.08378457612691692,0.6536692661467707
32,0.5452962058315202,0.0021995600879824036
33,0.5456104924665889,0.004399120175964807
34,0.3481622570789426,0.041591681663667265
35,0.12170977050030855,0.4429114177164567
36,0.41941365142730513,0.04499100179964007
37,0.21432937765953172,0.21575684863027395
38,0.3731830535656491,0.016396720655868825
39,-0.00039935302992906153,0.9984003199360127
40,0.16612691364195897,0.33773245350929815
41,0.011172526501288948,0.9562087582483503
42,0.1773011357937863,0.23015396920615877
43,-0.05920595154385979,0.7306538692261547
44,-0.04351849198088544,0.7954409118176364
45,0.2761459026500215,0.09318136372725455
46,0.16819055979609804,0.39392121575684863
47,-0.1717411915783909,0.27914417116576684
48,0.43369557729085634,0.014397120575884824
49,0.21140796651330648,0.17256548690261947
50,0.04828416229959429,0.7396520695860828
51,0.27292525867004014,0.15396920615876825
52,0.3920446466655094,0.04619076184763048
53,0.2557475748792807,0.16996600679864027
54,0.2136441125362789,0.28834233153369326
55,0.2993884852564769,0.0597880423915217
56,-0.05968224067012702,0.6762647470505899
57,-0.2914900735719438,0.07578484303139373
58,0.1967963154313093,0.21095780843831233
59,0.20077847817636396,0.2473505298940212
60,-0.039600979880819565,0.793241351729654
61,0.3374665571000673,0.046390721855628876
62,0.17762833886730767,0.29834033193361326
63,0.21638398399957343,0.20135972805438912
64,0.15540113846632383,0.35792841431713657
65,0.23893475779834655,0.14977004599080185
66,0.3082975411441087,0.07418516296740651
67,0.38807673188688857,0.03179364127174565
68,0.18524302375203275,0.28534293141371725
69,0.275567537694787,0.14577084583083383
70,0.3336830345447897,0.07698460307938412
71,0.24916259363649823,0.1839632073585283
72,0.3146588775121676,0.13377324535092983
73,0.06906549790214825,0.6164767046590682
74,0.3288520179274564,0.07558488302339532
75,0.2334104578584057,0.1851629674065187
76,0.06083370336811703,0.6544691061787642
77,0.1262373532633143,0.48630273945210956
78,0.33312015003334705,0.0621875624875025
79,0.08476566906646407,0.6202759448110378
80,0.10448020581069402,0.5402919416116777
81,0.29205259863602795,0.059988002399520096
82,0.09943408658732529,0.45250949810037994
83,0.07378745826003827,0.6504699060187963
84,0.22901519171549398,0.1923615276944611
85,0.3209129450863185,0.041591681663667265
86,0.09740751913882359,0.6018796240751849
87,0.2631073825625146,0.17556488702259548
88,0.611487605648728,0.0005998800239952009
89,0.35672208621365487,0.03239352129574085
90,-0.01084376204574527,0.9442111577684463
91,0.1577524855635839,0.2997400519896021
92,0.30650861433748455,0.0623875224955009
93,0.09820019783964475,0.5446910617876425
94,0.15238617215209227,0.3573285342931414
95,0.03226181544906961,0.8422315536892622
96,0.4027117561832643,0.06798640271945611
97,0.22678774463350995,0.20435912817436513
98,0.4267771361508682,0.014797040591881624
99,0.3405323434445111,0.02979404119176165
100,0.17892393889077218,0.35912817436512695
101,0.3389327259809014,0.08338332333533294
102,0.51311909544714,0.0003999200159968006
103,0.28914704410150954,0.06458708258348331
104,0.5415336342850813,0.0023995200959808036
105,0.22276902338844273,0.16376724655068986
106,0.09227614476854498,0.521495700859828
107,-0.04581647703294006,0.7826434713057389
108,0.375182078556625,0.033193361327734455
109,0.03162140062028142,0.8710257948410318
110,0.0998797860116359,0.5560887822435513
111,0.12589009233680687,0.4243151369726055
112,0.19953130750527331,0.20995800839832032
113,0.11454306684532764,0.5128974205158968
114,0.2411359854509323,0.118376324735053
115,0.01733433538381689,0.9204159168166367
116,0.3045051066712049,0.10297940411917617
117,0.019964006718128015,0.9038192361527695
118,0.2147585689863561,0.26354729054189163
119,0.1960929890081486,0.27114577084583086
120,-0.03387714792534924,0.8492301539692062
121,0.16699838210230739,0.3509298140371926
122,0.31503034270851193,0.07878424315136973
123,0.29660753078871155,0.12377524495100979
124,0.3296075512881746,0.05798840231953609
125,0.47290149303255474,0.010197960407918417
126,0.1766394625787689,0.20615876824635074
127,0.126711915313092,0.4339132173565287
128,0.14338019449662812,0.39232153569286143
129,0.22251001651303537,0.1893621275744851
130,0.06456009484360403,0.6922615476904619
131,-0.10063026614079647,0.5340931813637273
132,0.7313731708888515,0.0001999600079984003
133,0.06861886675766979,0.6716656668666267
134,0.14415929364181806,0.3869226154769046
135,0.4748815409264422,0.002999400119976005
136,0.3046787820065335,0.09778044391121776
137,0.34674561052728736,0.08158368326334733
138,0.23229887670327248,0.1829634073185363
139,0.2622020595808401,0.21515696860627875
140,0.09340060828972944,0.5844831033793242
141,0.0806774530672806,0.6654669066186762
142,-0.032658788296688626,0.830633873225355
143,0.09934332253445367,0.5340931813637273
144,0.18445818975951447,0.3091381723655269
145,0.02878755142161058,0.8884223155368927
146,0.06646763348475311,0.7214557088582284
147,-0.11213107737060808,0.608878224355129
148,0.048696332303836624,0.7806438712257548
149,-0.2023636912857265,0.16356728654269145
150,0.2428929953988987,0.18156368726254749
151,0.03967618283700367,0.7766446710657868
152,0.10221975024154459,0.5756848630273945
153,0.06391872769820761,0.7068586282743451
154,0.028129720774482947,0.8764247150569886
155,0.1677543703703706,0.45250949810037994
156,0.2494582580349663,0.16016796640671865
157,0.2917435397231506,0.07138572285542892
158,0.20702878941197228,0.3105378924215157
159,0.44196209677814063,0.016796640671865627
160,0.4934598510833218,0.0021995600879824036
161,0.014308661698894776,0.9420115976804639
162,0.29186840619400145,0.1329734053189362
163,0.2386314825706425,0.15456908618276344
164,0.18693029790515517,0.19556088782243553
165,0.002850958716061802,0.9886022795440912
166,-0.09553309475373613,0.5608878224355129
167,0.256706694890091,0.10477904419116177
168,0.3573803715492683,0.08318336332733453
169,0.0424183192745776,0.8054389122175565
170,0.2421436601060892,0.14437112577484504
171,0.2534580641103267,0.1841631673665267
