,mean,p
0,0.22257602540638904,0.356128774245151
1,0.13826997963766335,0.6566686662667467
2,0.17498232159589552,0.4487102579484103
3,-0.14828239179803474,0.562887422515497
4,-0.16977899254267062,0.499500099980004
5,-0.059568123823605115,0.772245550889822
6,0.2688872481465951,0.2871425714857029
7,-0.24502427470911353,0.33613277344531095
8,-0.10615641274962317,0.5750849830033993
9,-0.015867035034380673,0.9498100379924015
10,-0.026719953281153962,0.8980203959208158
11,-0.03588568761585141,0.8824235152969406
12,-0.3521541264122427,0.06758648270345931
13,-0.4790843856224777,0.005198960207958408
14,-0.16780526943147045,0.4953009398120376
15,-0.308835232012832,0.21535692861427713
16,-0.13795445463540928,0.6436712657468506
17,-0.2086188494711195,0.2997400519896021
18,-0.18253476304499067,0.39112177564487105
19,-0.3282545831526468,0.20615876824635074
20,0.2601821294120522,0.266746650669866
21,-0.49849933258459345,0.09818036392721456
22,-0.08724901901820876,0.7420515896820636
23,-0.027071611820945817,0.876624675064987
24,-0.435248290784933,0.0615876824635073
25,-0.21447661570471382,0.34333133373325336
26,0.19788710110298932,0.47950409918016396
27,-0.061877101193945815,0.7666466706658668
28,-0.5081044376778066,0.041391721655668866
29,-0.14696911393390732,0.5624875024995001
30,-0.11853388573267705,0.5826834633073386
31,0.3431140455901695,0.057788442311537694
32,-0.28281026268555143,0.2573485302939412
33,-0.02446254388565901,0.9132173565286943
34,-0.1302072453226845,0.6270745850829834
35,-0.22365151515627518,0.39852029594081184
36,0.04111834828947179,0.877624475104979
37,0.36843167438321683,0.16016796640671865
38,0.1490571998825863,0.6048790241951609
39,-0.29847518945993695,0.19916016796640673
40,-0.19338062600727376,0.3879224155168966
41,-0.28054458805034427,0.32793441311737653
42,0.1265042148084152,0.6720655868826235
43,-0.4888854893297414,0.04239152169566087
44,-0.32192298365664707,0.24235152969406118
45,0.04093875981759241,0.8744251149770046
46,-0.16043365171987162,0.556488702259548
47,-0.42848377004631455,0.08518296340731854
48,0.17737669323342553,0.3843231353729254
49,-0.03320990135644279,0.8254349130173965
50,-0.18576089475095614,0.46030793841231754
51,-0.179580973993052,0.47230553889222154
52,-0.8028641440082327,0.017996400719856028
53,-0.2637536133362672,0.34553089382123575
54,-0.08534428295963117,0.6374725054989002
55,0.27506919852445655,0.22675464907018597
56,0.2952012281679436,0.33933213357328534
57,-0.07769711218685056,0.6608678264347131
58,-0.3271683279715907,0.2563487302539492
59,-0.4548523321692599,0.0635872825434913
60,-0.2960552974484002,0.20835832833433313
61,-0.08547146263748431,0.7838432313537292
62,0.17447706661799067,0.5430913817236552
63,-0.1127835674728748,0.6132773445310937
64,0.13186040658745887,0.523495300939812
65,-0.45995585528305966,0.055188962207558485
66,-0.20651982688861822,0.39892021595680865
67,-0.3560584306473472,0.15136972605478904
68,-0.291715736735849,0.1295740851829634
69,-0.1173174278375905,0.6684663067386523
70,-0.16628102747058454,0.5614877024595081
71,-0.02758160403720521,0.9168166366726654
72,-0.20342225995243482,0.39492101579684064
73,-0.2716146649214465,0.3235352929414117
74,-0.36066303987255377,0.17976404719056188
75,-0.6065621119019274,0.03759248150369926
76,-0.09149387087107305,0.7246550689862028
77,-0.193512238247136,0.4211157768446311
78,-0.18959228263568817,0.4611077784443111
79,-0.35037349107525273,0.21495700859828035
80,0.04445068673734197,0.8014397120575885
81,-0.02908475580886552,0.9278144371125775
82,0.03862677559963404,0.8504299140171966
83,0.027524205123027813,0.9010197960407919
84,0.07698722110884178,0.7784443111377725
85,-0.044556844312845054,0.8874225154969007
86,-0.3092659347883922,0.21695660867826436
87,-0.3082780757292077,0.13377324535092983
88,-0.36145489975462725,0.17076584683063387
